ethics_first_name,ethics_last_name,contribution_first_name,first_name_similarity,,Dept/Board,district,Party,Amount,original_url,ammend_url,dates,File Year
Kaialii,Kahele,Kaialii,100.00%,,Senate,1,Democrat,151559,http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-11734.pdf;http://files.hawaii.gov/ethics/disc/2016/FinShort_11350.pdf,,03/31/2016;07/20/2016,2016
Kaialii,Kahele,Gilbert,0.00%,,Senate,1,Democrat,23144.22,http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-11734.pdf;http://files.hawaii.gov/ethics/disc/2016/FinShort_11350.pdf,,03/31/2016;07/20/2016,2016
NA,Kimball,Heather,NA,,House,1,Democrat,7014.52,NA,NA,NA,NA
Mark M.,Nakashima,Mark,57.14%,,House,1,Democrat,55433.51,http://files.hawaii.gov/ethics/disc/2016/FinLong_8895.pdf,,02/01/2016,2016
NA,Onishi,Dennis,NA,,Senate,1,Democrat,9462.45,NA,NA,NA,NA
NA,Robinson,Kaloa,NA,,Senate,1,Democrat,11520.09,NA,NA,NA,NA
NA,Young,Byron,NA,,House,1,Republican,994,NA,NA,NA,NA
NA,Ilagan,Greggor,NA,,Senate,2,Democrat,44172.92,NA,NA,NA,NA
NA,Manipol-Larson,Grace,NA,,House,2,Non-Partisan,825,NA,NA,NA,NA
Russell E.,Ruderman,Russell,70.00%,,Senate,2,Democrat,25044.2,http://files.hawaii.gov/ethics/disc/2016/FinLong_8458.pdf,,01/03/2016,2016
NA,Tsuji,Clifton,NA,,House,2,Democrat,39901.97,NA,NA,NA,NA
NA,Wong,Jonathan,NA,,House,2,Democrat,16960,NA,NA,NA,NA
Joshua B.,Green,Josh,44.44%,,Senate,3,Democrat,82300,http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-10975.pdf,http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-11474.pdf,01/11/2016;03/09/2016,2016
NA,Naniole,Alexander,NA,,House,3,Democrat,25750,NA,NA,NA,NA
Richard H.K.,Onishi,Richard,58.33%,,House,3,Democrat,29444.01,http://files.hawaii.gov/ethics/disc/2016/FinLong_8920.pdf,,02/01/2016,2016
NA,Pisciotta,Kealoha,NA,,House,3,Green,3590,NA,NA,NA,NA
Lorraine Rodero,Inouye,Lorraine,53.33%,,Senate,4,Democrat,55950,http://files.hawaii.gov/ethics/disc/2016/FinLong_8800.pdf,,01/29/2016,2016
Joy A.,San Buenaventura,Joy,50.00%,,House,4,Democrat,19550,http://files.hawaii.gov/ethics/disc/2016/FinLong_8787.pdf,,01/28/2016,2016
Richard P.,Creagan,Richard,70.00%,,House,5,Democrat,16050,http://files.hawaii.gov/ethics/disc/2016/FinLong_8786.pdf,http://files.hawaii.gov/ethics/disc/2016/FinShort_8933.pdf,01/28/2016;02/01/2016,2016
Gilbert S.C.,Keith-Agaran,Gilbert,58.33%,,Senate,5,Democrat,104978.87,http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-11112.pdf,,01/27/2016,2016
NA,Amato,Terez,NA,,Senate,6,Democrat,500,NA,NA,NA,NA
Rosalyn H.,Baker,Rosalyn,70.00%,,Senate,6,Democrat,71534.07,http://files.hawaii.gov/ethics/disc/2016/FinLong_8863.pdf,,01/29/2016,2016
NA,Kossow,Bronsten-Glenn,NA,,House,6,Democrat,1203.49,NA,NA,NA,NA
Nicole E.,Lowen,Nicole,66.67%,,House,6,Democrat,37831,http://files.hawaii.gov/ethics/disc/2016/FinLong_8927.pdf,,02/01/2016,2016
NA,Pratt,Bruce,NA,,House,6,Republican,1300,NA,NA,NA,NA
NA,Coakley,Jeffrey,NA,,House,7,Republican,2350,NA,NA,NA,NA
J. Kalani,English,Kalani,66.67%,,Senate,7,Democrat,75580.41,http://files.hawaii.gov/ethics/disc/2016/Kfx10Dis-11198.pdf,,01/29/2016,2016
Cynthia Frances Wood,Evans,Cindy,15.00%,,House,7,Democrat,31220,http://files.hawaii.gov/ethics/disc/2016/FinLong_8521.pdf,,01/10/2016,2016
NA,Tarnas,David,NA,,House,7,Democrat,37888.17,NA,NA,NA,NA
NA,Ahuna,Kanoe,NA,,Senate,8,Democrat,8037.39,NA,NA,NA,NA
NA,Kapoi,Cranston,NA,,House,8,Republican,500,NA,NA,NA,NA
Ronald D.,Kouchi,Ron,33.33%,,Senate,8,Democrat,211201.77,http://files.hawaii.gov/ethics/disc/2016/FinLong_8938.pdf,,02/01/2016,2016
NA,Rebolledo,Gilbert,NA,,House,8,Republican,430,NA,NA,NA,NA
Joseph Mark,Souki,Joseph,54.55%,,House,8,Democrat,118878,http://files.hawaii.gov/ethics/disc/2016/FinLong_8914.pdf,,02/01/2016,2016
NA,Chang,Stanley,NA,,Senate,9,Democrat,135747.22,NA,NA,NA,NA
NA,Slom,Sam,NA,,Senate,9,Republican,25771.9,NA,NA,NA,NA
Justin H.,Woodson,Justin,66.67%,,House,9,Democrat,33400,http://files.hawaii.gov/ethics/disc/2016/FinLong_8749.pdf,,01/27/2016,2016
